waypoint1	waypoint2	distance_m	duration_s
Innsbruck, Austria	Munich, Germany	163251	6932
Innsbruck, Austria	Pag, Croatia	818266	31703
Venice, Italy	Innsbruck, Austria	387413	14130
Innsbruck, Austria	Tuscany, Italy	490620	18191
Innsbruck, Austria	Florence, Italy	501035	18507
Innsbruck, Austria	Rome, Italy	758725	27040
Innsbruck, Austria	Vatican City	763430	27161
Innsbruck, Austria	Amalfi, Italy	1007507	36769
Innsbruck, Austria	Gozo, Malta	1814990	79326
Innsbruck, Austria	Dubrovnik, Croatia	1104875	42156
Innsbruck, Austria	Santorini, Thira, Greece	2398163	109172
Innsbruck, Austria	Rila Monastery, Rilski manastir, Bulgaria	1471747	54248
Innsbruck, Austria	Istanbul, Turkey	1928540	69326
Innsbruck, Austria	Sighisoara, Mures County, Romania	1364881	49223
Innsbruck, Austria	Budapest, Hungary	724817	25276
Vienna, Austria	Innsbruck, Austria	476177	17694
Innsbruck, Austria	Prague, Czech Republic	551555	19606
Innsbruck, Austria	Krakow, Poland	946431	33409
Innsbruck, Austria	Jägala Waterfall, 74205 Harjumaa, Estonia	2228043	86675
Innsbruck, Austria	Lapland, Finland	3127843	122537
Innsbruck, Austria	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	3017299	116504
Innsbruck, Austria	Bergen, Norway	2129070	90441
Innsbruck, Austria	Copenhagen, Denmark	1149338	46895
Innsbruck, Austria	Berlin, Germany	751550	27199
Innsbruck, Austria	Amsterdam, Netherlands	931973	34328
Innsbruck, Austria	Keukenhof, Stationsweg, Lisse, Netherlands	958142	35087
Innsbruck, Austria	Edinburgh, United Kingdom	1863242	69485
Inverness, United Kingdom	Innsbruck, Austria	2159487	78753
Innsbruck, Austria	Ballybunion, Ireland	2129658	84839
Innsbruck, Austria	Cliffs of Moher, Clare, Ireland	2127667	84674
Innsbruck, Austria	Cornwall, England	1638371	60808
Innsbruck, Austria	Stonehenge, Amesbury, United Kingdom	1359600	49752
London, United Kingdom	Innsbruck, Austria	1235915	46784
Brussels, Belgium	Innsbruck, Austria	836270	32288
Innsbruck, Austria	Paris, France	929983	33693
Innsbruck, Austria	Pamplona, Spain	1554951	56960
Innsbruck, Austria	Lagos, Portugal	2625802	88767
Innsbruck, Austria	Granada, Spain	2240788	75909
Innsbruck, Austria	Ibiza, Spain	1932673	71731
Barcelona, Spain	Innsbruck, Austria	1365565	48697
Innsbruck, Austria	Luberone, Bonnieux, France	928578	34867
Innsbruck, Austria	Nice, France	700463	26333
Innsbruck, Austria	Monte Carlo, Monaco	686494	25951
Interlaken, Switzerland	Innsbruck, Austria	381292	17608
Pag, Croatia	Munich, Germany	776961	30182
Venice, Italy	Munich, Germany	542814	20037
Tuscany, Italy	Munich, Germany	646021	24098
Florence, Italy	Munich, Germany	656436	24415
Rome, Italy	Munich, Germany	914126	32947
Vatican City	Munich, Germany	918831	33068
Amalfi, Italy	Munich, Germany	1162908	42677
Gozo, Malta	Munich, Germany	1970392	85233
Dubrovnik, Croatia	Munich, Germany	1063570	40635
