waypoint1	waypoint2	distance_m	duration_s
USS Alabama, Battleship Parkway, Mobile, AL	Grand Canyon National Park, Arizona	2646073	88243
USS Alabama, Battleship Parkway, Mobile, AL	Toltec Mounds, Scott, AR	708107	26873
San Andreas Fault, San Benito County, CA	USS Alabama, Battleship Parkway, Mobile, AL	3466651	112170
USS Alabama, Battleship Parkway, Mobile, AL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3852291	123224
USS Alabama, Battleship Parkway, Mobile, AL	Pikes Peak, Colorado	2157501	75240
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	USS Alabama, Battleship Parkway, Mobile, AL	2107131	69909
USS Alabama, Battleship Parkway, Mobile, AL	New Castle Historic District, Delaware	1729555	56949
USS Alabama, Battleship Parkway, Mobile, AL	White House, Pennsylvania Avenue Northwest, Washington, DC	1557759	50846
Cape Canaveral, FL	USS Alabama, Battleship Parkway, Mobile, AL	879923	27599
USS Alabama, Battleship Parkway, Mobile, AL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	636412	21964
USS Alabama, Battleship Parkway, Mobile, AL	Craters of the Moon National Monument & Preserve, Arco, ID	3424951	117430
USS Alabama, Battleship Parkway, Mobile, AL	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1197214	41539
Grand Canyon National Park, Arizona	Toltec Mounds, Scott, AR	2095709	67287
San Andreas Fault, San Benito County, CA	Grand Canyon National Park, Arizona	906136	33213
Grand Canyon National Park, Arizona	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1270433	43327
Grand Canyon National Park, Arizona	Pikes Peak, Colorado	1011769	40623
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Grand Canyon National Park, Arizona	4064134	132607
Grand Canyon National Park, Arizona	New Castle Historic District, Delaware	3761175	123192
Grand Canyon National Park, Arizona	White House, Pennsylvania Avenue Northwest, Washington, DC	3686952	119210
Cape Canaveral, FL	Grand Canyon National Park, Arizona	3533751	115184
Grand Canyon National Park, Arizona	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3298075	107831
Grand Canyon National Park, Arizona	Craters of the Moon National Monument & Preserve, Arco, ID	1328747	48569
Grand Canyon National Park, Arizona	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2486810	80225
San Andreas Fault, San Benito County, CA	Toltec Mounds, Scott, AR	2818820	93696
Toltec Mounds, Scott, AR	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3183117	103810
Toltec Mounds, Scott, AR	Pikes Peak, Colorado	1599902	53979
